attempt,1_cp,1_score,1_ratio_clip,1_gradient_clip,1_parameter_movement,1_kl,1_kl_stops,1_ppo_steps,1_ppo_delta,1_training_seconds,1_evaluation_seconds,1_total_seconds,1_outcome,1_wins,1_draws,1_losses,2_cp,2_score,2_ratio_clip,2_gradient_clip,2_parameter_movement,2_kl,2_kl_stops,2_ppo_steps,2_ppo_delta,2_training_seconds,2_evaluation_seconds,2_total_seconds,2_outcome,2_wins,2_draws,2_losses,3_cp,3_score,3_ratio_clip,3_gradient_clip,3_parameter_movement,3_kl,3_kl_stops,3_ppo_steps,3_ppo_delta,3_training_seconds,3_evaluation_seconds,3_total_seconds,3_outcome,3_wins,3_draws,3_losses
19,31,0.355,0.0277099609375,0.0,0.02700718277768606,0.0015401927344290318,0/4,463872,12288,76.75186429102905,94.72644358314574,171.4783078741748,failed-1-rollback,314,82,604,25,0.3195,0.155517578125,,0.24885528784644137,0.03185809403657913,disabled,574464,52224,520.5986027088948,109.51779179205187,630.1163945009466,failed-continued,292,55,653,54,0.4915,0.07755533854166667,,0.1291185653586021,0.011703510768711567,disabled,2193408,52224,60.95716570899822,33.468113749986514,94.42527945898473,failed-7-rollback,455,73,472
20,32,0.3715,0.028157552083333332,0.0,0.025804310249761372,0.0015943135907624157,0/4,463872,12288,76.23949229205027,96.92873445898294,173.16822675103322,failed-1-rollback,338,67,595,26,0.266,0.21407063802083334,,0.25441622373867695,0.05319078639149666,disabled,626688,52224,522.3390990418848,112.34248595894314,634.6815850008279,failed-continued,229,74,697,55,0.5305,0.0811767578125,,0.13016285826360302,0.012013867497444153,disabled,1880064,52224,61.58052333409432,32.288023542030714,93.86854687612504,failed-continued,482,97,421
21,33,0.3555,0.024190266927083332,0.010416666666666666,0.025028183595863028,0.0014348176501831251,0/4,463872,12288,76.76484449999407,96.28268091706559,173.04752541705966,failed-1-rollback,322,67,611,27,0.229,0.24971516927083334,,0.24621359751774277,0.09661155939102173,disabled,678912,52224,522.4617814579979,124.19334666617215,646.65512812417,failed-continued,199,60,741,56,0.5085,0.08548990885416667,,0.13312144948356347,0.01076410710811615,disabled,1932288,52224,61.21908599999733,32.193134582950734,93.41222058294807,failed-continued,473,71,456
22,34,0.356,0.023478190104166668,0.0,0.02386435307183477,0.0013651459530047798,0/4,463872,12288,76.8120094591286,95.73852533404715,172.55053479317576,failed-1-rollback,321,70,609,28,0.231,0.2544759114583333,,0.22019483694047665,0.08798915147781372,disabled,731136,52224,521.5562084999401,118.01836441620253,639.5745729161426,failed-7-rollback,210,42,748,57,0.497,0.09200032552083333,,0.1329196077281401,0.011851292103528976,disabled,1984512,52224,61.298627290991135,32.989507624995895,94.28813491598703,failed-continued,462,70,468
23,35,0.3515,0.03253173828125,0.0,0.025466686367187526,0.002262378524411209,0/4,463872,12288,76.531938750064,96.20525050000288,172.73718925006688,failed-1-rollback,320,63,617,29,0.3045,0.09696451822916667,,0.21869746025096146,0.011615079827606678,disabled,417792,52224,525.6460561670829,100.96076754108071,626.6068237081636,failed-continued,272,65,663,58,0.468,0.08260091145833333,,0.13347970409569593,0.008978035300970078,disabled,2036736,52224,61.234651917009614,34.05370229203254,95.28835420904215,failed-continued,424,88,488
24,36,0.372,0.0228271484375,0.0,0.024813902085710264,0.001344478320168226,0/4,463872,12288,76.0572033750359,97.57941924990155,173.63662262493744,failed-1-rollback,336,72,592,30,0.2865,0.09126790364583333,,0.2270648602099248,0.013842848129570484,disabled,470016,52224,523.4513955840375,103.01796974986792,626.4693653339054,failed-continued,258,57,685,59,0.5195,0.07637532552083333,,0.12820808928621968,0.013883684761822224,disabled,2088960,52224,61.23124412505422,32.91559975000564,94.14684387505986,failed-continued,470,99,431
25,37,0.3535,0.027180989583333332,0.0,0.02723950463013815,0.0015880359758000395,0/4,463872,12288,76.42189133400097,94.37336687510833,170.7952582091093,failed-1-rollback,322,63,615,31,0.3135,0.140625,,0.24539049140032465,0.024265972897410393,disabled,522240,52224,523.3856998749543,110.75128345796838,634.1369833329227,failed-continued,282,63,655,60,0.501,0.08174641927083333,,0.12550927333742298,0.011352612636983395,disabled,2141184,52224,61.05968429206405,32.332352917059325,93.39203720912337,failed-continued,455,92,453
26,38,0.345,0.025919596354166668,0.0,0.026051154983161434,0.0013745258288508921,0/4,463872,12288,76.28030629083514,94.41627420904115,170.6965804998763,failed-1-rollback,311,68,621,32,0.3055,0.17138671875,,0.25547401651236556,0.032298494130373,disabled,574464,52224,524.3936400420498,109.48794333287515,633.881583374925,failed-continued,273,65,662,61,0.5185,0.09187825520833333,,0.12413456990219356,0.01167166605591774,disabled,2193408,52224,61.525182291981764,32.34953350003343,93.8747157920152,failed-7-rollback,476,85,439
27,39,0.357,0.0255126953125,0.0,0.02676945207498318,0.0014812360027320892,0/4,463872,12288,76.51646400010213,94.74266462516971,171.25912862527184,failed-1-rollback,319,76,605,33,0.2995,0.195068359375,,0.2407199232806202,0.055845845490694046,disabled,626688,52224,521.9514777918812,108.93172749993391,630.8832052918151,failed-continued,273,53,674,62,0.5295,0.08199055989583333,,0.12804750274556365,0.011092760600149632,disabled,1880064,52224,61.85413175006397,32.39560537505895,94.24973712512292,failed-continued,491,77,432
28,40,0.38,0.024759928385416668,0.0,0.02280866720059687,0.0014247043206315386,0/4,463872,12288,76.22326570795849,97.1575975830201,173.3808632909786,failed-1-rollback,344,72,584,34,0.2555,0.217041015625,,0.2300147208213048,0.07597339153289795,disabled,678912,52224,518.1743638329208,110.29241733299568,628.4667811659165,failed-continued,226,59,715,63,0.5105,0.08597819010416667,,0.13635054681080766,0.011157423257827759,disabled,1932288,52224,61.44086479092948,32.84761258296203,94.28847737389151,failed-continued,469,83,448
29,41,0.366,0.0238037109375,0.0,0.028207562529514615,0.0014583444124696143,0/4,463872,12288,78.86850445810705,100.71649191714823,179.5849963752553,failed-1-rollback,337,58,605,35,0.2335,0.219970703125,,0.21436633039956238,0.08115009218454361,disabled,731136,52224,520.1395130830351,111.43854970810935,631.5780627911445,failed-7-rollback,212,43,745,64,0.4995,0.0872802734375,,0.12351163388434666,0.01379153411835432,disabled,1984512,52224,61.33754920796491,32.55928883294109,93.896838040906,failed-continued,460,79,461
30,,,,,,,,,,,,,,,,,36,0.3515,0.08837890625,,0.20546083190890363,0.013459223322570324,disabled,417792,52224,527.2809838328976,103.85845054197125,631.1394343748689,failed-continued,315,73,612,65,0.4975,0.08882649739583333,,0.12700226177691057,0.01435792911797762,disabled,2036736,52224,61.57468949991744,33.321995582897216,94.89668508281466,failed-continued,462,71,467
31,,,,,,,,,,,,,,,,,37,0.309,0.12089029947916667,,0.23267945590148692,0.025959253311157227,disabled,470016,52224,522.0027650420088,114.90273787500337,636.9055029170122,failed-continued,278,62,660,66,0.54,0.08683268229166667,,0.1271489969567171,0.011497396975755692,disabled,2088960,52224,60.969159416039474,32.53175341594033,93.5009128319798,failed-continued,501,78,421
32,,,,,,,,,,,,,,,,,38,0.3125,0.11991373697916667,,0.24397944733704213,0.023671800270676613,disabled,522240,52224,520.3818880829494,114.7681350831408,635.1500231660903,failed-continued,280,65,655,67,0.527,0.08780924479166667,,0.12314791162284296,0.011464722454547882,disabled,2141184,52224,61.4093915829435,32.973418915993534,94.38281049893703,failed-continued,490,74,436
33,,,,,,,,,,,,,,,,,39,0.297,0.1534423828125,,0.24248544512002043,0.029627365991473198,disabled,574464,52224,519.0602472918108,113.7591297919862,632.819377083797,failed-continued,269,56,675,68,0.5335,0.1015625,,0.13054617001557858,0.016934288665652275,disabled,2193408,52224,61.17421429196838,32.50165208301041,93.6758663749788,failed-7-rollback,494,79,427
34,,,,,,,,,,,,,,,,,40,0.265,0.205078125,,0.24793667841314918,0.05405762791633606,disabled,626688,52224,521.1880802079104,114.87993795797229,636.0680181658827,failed-continued,230,70,700,69,0.4525,0.0838623046875,,0.1347745365741893,0.01000362727791071,disabled,1880064,52224,61.425555582973175,33.49856400000863,94.9241195829818,failed-continued,409,87,504
35,,,,,,,,,,,,,,,,,41,0.224,0.2303466796875,,0.23739807474783015,0.06827638298273087,disabled,678912,52224,518.85951999994,113.07059029187076,631.9301102918107,failed-continued,205,38,757,70,0.498,0.08915201822916667,,0.13917699746100967,0.011283225379884243,disabled,1932288,52224,61.751566332997754,32.52629700000398,94.27786333300173,failed-continued,466,64,470
36,,,,,,,,,,,,,,,,,42,0.2455,0.24698893229166666,,0.2271551307670978,0.09352893382310867,disabled,731136,52224,517.0511286659166,113.55830633314326,630.6094349990599,failed-7-rollback,218,55,727,71,0.4945,0.09012858072916667,,0.1254133467585569,0.011633099056780338,disabled,1984512,52224,61.159340125042945,32.95924954209477,94.11858966713771,failed-continued,456,77,467
37,,,,,,,,,,,,,,,,,43,0.336,0.08369954427083333,,0.21165695934695758,0.019780470058321953,disabled,417792,52224,520.6399387500715,102.69085158407688,623.3307903341483,failed-continued,300,72,628,72,0.5315,0.080810546875,,0.12282944797869115,0.010980922728776932,disabled,2036736,52224,61.411995041999035,32.56387333292514,93.97586837492418,failed-continued,489,85,426
38,,,,,,,,,,,,,,,,,44,0.288,0.09220377604166667,,0.22384589091205875,0.019013287499547005,disabled,470016,52224,519.7227736250497,102.86667899996974,622.5894526250195,failed-continued,258,60,682,73,0.521,0.094482421875,,0.12390872882750462,0.011672024615108967,disabled,2088960,52224,61.33067262498662,33.036458792048506,94.36713141703513,failed-continued,478,86,436
39,,,,,,,,,,,,,,,,,45,0.316,0.1282958984375,,0.2501281344753009,0.02373751811683178,disabled,522240,52224,518.25291345804,105.90935541712679,624.1622688751668,failed-continued,285,62,653,74,0.525,0.0867919921875,,0.1242770261163126,0.010841019451618195,disabled,2141184,52224,61.25770904205274,32.80303241708316,94.0607414591359,failed-continued,471,108,421
40,,,,,,,,,,,,,,,,,46,0.2495,0.18534342447916666,,0.25146509037940046,0.040793780237436295,disabled,574464,52224,518.4613052501809,112.320764582837,630.7820698330179,failed-continued,221,57,722,75,0.4925,0.0860595703125,,0.12629816094372162,0.010844963602721691,disabled,2193408,52224,61.06108454207424,32.67579975002445,93.7368842920987,failed-7-rollback,462,61,477
41,,,,,,,,,,,,,,,,,47,0.278,0.19527180989583334,,0.24020502683094547,0.04627004638314247,disabled,626688,52224,519.8287671669386,111.0048675830476,630.8336347499862,failed-continued,247,62,691,76,0.5165,0.0869140625,,0.13078070774638856,0.011433403007686138,disabled,1880064,52224,61.15919970802497,33.45980345807038,94.61900316609535,failed-continued,477,79,444
42,,,,,,,,,,,,,,,,,48,0.248,0.21651204427083334,,0.23000792152954916,0.08258569985628128,disabled,678912,52224,518.5585668340791,115.32498970790766,633.8835565419868,failed-continued,223,50,727,77,0.5305,0.08243815104166667,,0.12935879399460823,0.009384392760694027,disabled,1932288,52224,61.58634270809125,32.65828058402985,94.2446232921211,failed-continued,485,91,424
43,,,,,,,,,,,,,,,,,49,0.264,0.2227783203125,,0.21432389468208257,0.09616521745920181,disabled,731136,52224,518.1980244580191,120.14442479098216,638.3424492490012,failed-7-rollback,231,66,703,78,0.5285,0.07710774739583333,,0.12880632092310462,0.01049157977104187,disabled,1984512,52224,61.49154783296399,32.90024387498852,94.3917917079525,failed-continued,488,81,431
44,,,,,,,,,,,,,,,,,50,0.343,0.08418782552083333,,0.20767243961846626,0.01755836419761181,disabled,417792,52224,522.538540833164,105.00952479196712,627.5480656251311,failed-continued,313,60,627,79,0.529,0.07877604166666667,,0.12453011285857538,0.011193017475306988,disabled,2036736,52224,61.42559950007126,32.30372129101306,93.72932079108432,failed-continued,492,74,434
45,,,,,,,,,,,,,,,,,51,0.3445,0.07942708333333333,,0.21449209297873198,0.01766034960746765,disabled,470016,52224,523.5643597920425,106.05827695806511,629.6226367501076,failed-continued,311,67,622,80,0.5275,0.07779947916666667,,0.12768290390838563,0.010901086032390594,disabled,2088960,52224,61.78655987500679,32.1255398329813,93.91209970798809,failed-continued,491,73,436
46,,,,,,,,,,,,,,,,,52,0.339,0.1319580078125,,0.2525077725562979,0.02209070883691311,disabled,522240,52224,524.7649670829996,104.53492433298379,629.2998914159834,failed-continued,310,58,632,81,0.5095,0.08451334635416667,,0.13116562202059442,0.008766059763729572,disabled,2141184,52224,61.38217779202387,32.00044333306141,93.38262112508528,failed-continued,473,73,454
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.5345,0.08626302083333333,,0.12724914141557903,0.008985837921500206,disabled,2193408,52224,61.59725879202597,32.71402883308474,94.31128762511071,failed-7-rollback,496,77,427
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0.524,0.08492024739583333,,0.13042258437457654,0.01123212929815054,disabled,1880064,52224,61.17633591592312,32.23176358395722,93.40809949988034,failed-continued,489,70,441
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,0.5345,0.08072916666666667,,0.1348140493107112,0.012325403280556202,disabled,1932288,52224,61.37604895804543,33.130401249974966,94.5064502080204,failed-continued,490,89,421
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,0.5105,0.08146158854166667,,0.12542749252986313,0.010959870181977749,disabled,1984512,52224,61.316444833995774,32.6138103751,93.93025520909578,failed-continued,475,71,454
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.5345,0.09281412760416667,,0.12540611452281467,0.012992684729397297,disabled,2036736,52224,61.07796124997549,33.103068958967924,94.18103020894341,failed-continued,494,81,425
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0.5285,0.086181640625,,0.12912066337087588,0.011405429802834988,disabled,2088960,52224,61.40856679202989,32.74037025007419,94.14893704210408,failed-continued,485,87,428
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0.553,0.08085123697916667,,0.1307383648604192,0.011506646871566772,disabled,2141184,52224,61.54254995798692,32.95672524999827,94.49927520798519,failed-continued,514,78,408
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0.528,0.08321126302083333,,0.12895650961622654,0.009015275165438652,disabled,2193408,52224,61.379661125014536,32.54695049999282,93.92661162500735,failed-7-rollback,490,76,434
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.5085,0.07328287760416667,,0.1290803481562985,0.008654870092868805,disabled,1880064,52224,61.29605062492192,32.16321912501007,93.45926974993199,failed-continued,468,81,451
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0.508,0.08203125,,0.12763265153992656,0.00973478052765131,disabled,1932288,52224,61.57739049999509,32.738023791927844,94.31541429192293,failed-continued,465,86,449
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,0.5275,0.08154296875,,0.1297882379064055,0.0101642906665802,disabled,1984512,52224,61.13298720901366,33.416408041957766,94.54939525097143,failed-continued,485,85,430
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,0.499,0.08614095052083333,,0.12767200239614804,0.011901467107236385,disabled,2036736,52224,61.49827420897782,32.607419625041075,94.1056938340189,failed-continued,460,78,462
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0.5365,0.08492024739583333,,0.12982008489903057,0.01249311026185751,disabled,2088960,52224,61.31944079196546,33.53191358305048,94.85135437501594,failed-continued,498,77,425
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.5,0.0855712890625,,0.1265559388585204,0.011977572925388813,disabled,2141184,52224,61.19174683303572,31.93527204100974,93.12701887404546,failed-continued,458,84,458
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.502,0.08951822916666667,,0.12623686639248852,0.015633348375558853,disabled,2193408,52224,61.129891916993074,32.23900916695129,93.36890108394437,failed-7-rollback,464,76,460
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.4975,0.09004720052083333,,0.12876548698881993,0.01034887321293354,disabled,1880064,52224,61.45969187503215,33.07918008300476,94.5388719580369,failed-continued,456,83,461
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.507,0.0875244140625,,0.13292405784426936,0.012833472341299057,disabled,1932288,52224,61.2158113749465,32.852897500037216,94.06870887498371,failed-continued,467,80,453
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.5145,0.083251953125,,0.1286386879257958,0.010626357048749924,disabled,1984512,52224,61.077637542039156,32.82286429195665,93.9005018339958,failed-continued,477,75,448
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.498,0.09041341145833333,,0.1357747276634465,0.013228273950517178,disabled,2036736,52224,61.17845829203725,33.47876520792488,94.65722349996213,failed-continued,462,72,466
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0.503,0.0863037109375,,0.13023306477053256,0.011480518616735935,disabled,2088960,52224,61.10086633299943,33.39237820892595,94.49324454192538,failed-continued,474,58,468
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0.4975,0.07670084635416667,,0.12263243784664761,0.010371721349656582,disabled,2141184,52224,61.339012958924286,32.69808158301748,94.03709454194177,failed-continued,466,63,471
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.505,0.085205078125,,0.12581196591595148,0.009993501007556915,disabled,2193408,52224,61.42800070904195,33.224073999910615,94.65207470895257,failed-7-rollback,461,88,451
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0.5035,0.06949869791666667,,0.132872626329603,0.0117795430123806,disabled,1880064,52224,61.24731212493498,31.84801537496969,93.09532749990467,failed-continued,460,87,453
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0.5255,0.0743408203125,,0.12713069038604619,0.0097782788798213,disabled,1932288,52224,61.32718504196964,33.07226729101967,94.39945233298931,failed-continued,485,81,434
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0.4855,0.0714111328125,,0.12347340475111647,0.009464970789849758,disabled,1984512,52224,61.437224874971434,32.3043027499225,93.74152762489393,failed-continued,443,85,472
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0.5505,0.07950846354166667,,0.13039178182900435,0.01019707415252924,disabled,2036736,52224,61.44069529091939,31.660574959008954,93.10127024992835,failed-continued,512,77,411
