character,record_type,record_subtype,name,activation_requirement,stack_limit,cp_cost,die_face,rules_text,character_form,potion_slot_limit,summon_cost,companion_limit,unearth_corpse_value,companion_activation_limit,ace_charge_slot_limit
Pale Lady,Hero Board Ability,Defensive Ability,Refresh,Defense Roll 4 [dice],,,,"Heal 1 × [crescent]. On [full moon], gain Moon Shard.",Pale Lady,,,,,,
Pale Lady,Hero Board Ability,Ultimate Ability,Unleash the Beast!,[full moon] ×5,,,,"Gain 2 Moon Shard. Then flip your Hero Board and activate the Werewolf's Ultimate Ability. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",Pale Lady,,,,,,
Pale Lady,Character Die,Die Symbol,Slash,,,,1; 2; 3,Slash.,All Forms,,,,,,
Pale Lady,Character Die,Die Symbol,Crescent,,,,4; 5,Crescent.,All Forms,,,,,,
Pale Lady,Character Die,Die Symbol,Full Moon,,,,6,Full Moon.,All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Trick of the Light!,,,1,,"If Werewolf, Heal 2 and flip your Hero Board.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Dark Side of the Moon!,,,0,,"Roll 5 [dice]: For each [slash], receive 1 dmg. For each [crescent], inflict Bleed on a chosen opponent. Gain 1 × [full moon] Moon Shard.",All Forms,,,,,,
Pale Lady,Unique Card,Roll Phase Action,Etiquette!,,,1,,"Play only after being Attacked. If an opponent is Attacking you with at least 10 dmg, Heal 2 and gain Moon Shard.",All Forms,,,,,,
Pale Lady,Unique Card,Instant Action,New Moon!,,,2,,"If Pale Lady, receive 1 dmg. Gain Moon Shard.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Transformation!,,,3,,"If Pale Lady, gain Moon Shard. Then flip your Hero Board.",All Forms,,,,,,
Pale Lady,Unique Card,Roll Phase Action (Attack Modifier),Ravage!,,,2,,"If Werewolf, receive 1 dmg and roll 5 [dice]: Add 1 × [slash] dmg. You may re-roll up to five of these dice.",All Forms,,,,,,
Pale Lady,Unique Card,Roll Phase Action (Attack Modifier),Ambush!,,,1,,"If Pale Lady, remove a Moon Shard and roll 1 [die]: On 1, add 3 dmg. On 2-5, add 4 dmg. On 6, add 4 dmg and gain Moon Shard.",All Forms,,,,,,
Pale Lady,Unique Card,Roll Phase Action (Attack Modifier),Quenched!,,,1,,"If Werewolf, after successfully dealing dmg, Heal 1 per Moon Shard.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Scent of Blood!,,,1,,"If Werewolf, inflict Prey on a chosen opponent. You may spend an additional 2 CP to inflict 2 Prey instead.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Life Trade!,,,0,,"If Pale Lady, receive up to 3 dmg and gain the same amount of CP.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Briar Thorn!,,,1,,"Choose an opponent and roll 1 [die]: On [crescent], inflict 2 Bleed. Otherwise, inflict Bleed.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Waxing Moon!,,,3,,"If Werewolf, roll 1 [die]: On [slash], deal 4 dmg to a chosen opponent. On [crescent], draw 2. On [full moon], gain Moon Shard.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Waning Moon!,,,1,,"If Pale Lady, roll 1 [die]: On [slash], deal 2 dmg to a chosen opponent. On [crescent], gain 2 CP. On [full moon], Heal 2.",All Forms,,,,,,
Pale Lady,Unique Card,Main Phase Action,Petulant!,,,1,,"If Pale Lady, choose an opponent. They must pay you 1 CP or else you flip your Hero Board.",All Forms,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Shred,[slash] ×3 / [slash] ×4 / [slash] ×5,,,,"[slash] ×3: Deal 4 undefendable dmg. [slash] ×4: Deal 5 undefendable dmg. [slash] ×5: Deal 6 undefendable dmg. On 3-of-a-kind (#'s), inflict Bleed.",Werewolf,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Rip and Tear,[crescent] ×3 + [full moon] ×1,,,,Deal 8 undefendable dmg.,Werewolf,,,,,,
Pale Lady,Hero Board Ability,Passive Ability,Twilight,Passive; conclusion of turn,,,,"At the conclusion of your turn, remove 1 Moon Shard. Then, if you do not have any Moon Shard, flip your Hero Board.",Werewolf,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,The Hunter,[slash] ×2 + [full moon] ×2,,,,Inflict 2 Prey. Then deal 7 dmg.,Werewolf,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Sunder,Small Straight / Large Straight,,,,Small Straight: Inflict Bleed. Deal 8 + 1 dmg per Moon Shard. Large Straight: Inflict 2 Bleed. Deal 8 + 2 dmg per Moon Shard.,Werewolf,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Jaws of the Wolf,[full moon] ×4,,,,"Inflict Prey and roll 4 [dice]: On [full moon], gain Moon Shard. Then deal 5 + 2 undefendable dmg per Moon Shard.",Werewolf,,,,,,
Pale Lady,Hero Board Ability,Offensive Ability,Full Moon Blitz,[crescent] ×4,,,,Heal 1 per Moon Shard. Deal 4 + 1 undefendable dmg per Moon Shard.,Werewolf,,,,,,
Pale Lady,Hero Board Ability,Defensive Ability,Backslash,Defense Roll 4 [dice],,,,"Deal 1 × [slash] dmg. On [crescent], inflict Bleed. On [full moon], deal 2 dmg.",Werewolf,,,,,,
Pale Lady,Hero Board Ability,Ultimate Ability,Unleash the Beast!,[full moon] ×5,,,,"Gain Moon Shard. Inflict Prey and 2 Bleed. Then deal 13 dmg. At the conclusion of your turn, do not remove 1 Moon Shard. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",Werewolf,,,,,,
Raveness,Companion,Companion Rules,Nevermore,,,,,"Nevermore joins the Raveness in battle as an instrument of chaos. When Nevermore is Activated, the Raveness may choose one: • Move Nevermore to a chosen player. • Absorb Vitality. Absorb Vitality: May only be chosen while Nevermore is on an opponent. For each instance of Absorbing, increase Nevermore's dial by 1 (max 3). Then that opponent receives 1 as an isolated source of undefendable dmg. Whenever Nevermore is moved to the Raveness, Heal the amount on Nevermore's dial. Then reduce the dial to zero. If an opponent has Nevermore, they must roll 1 [die] during their Upkeep Phase. This is called the Nevermore Die Roll: • On 1, that opponent gains Hex. • On 2, the Raveness may Activate Nevermore two times. • On 3, the Raveness may Activate Nevermore. • On 4, that opponent discards 1 of their choice. • On 5, that opponent loses 1 CP. The Raveness gains 1 CP. • On 6, reduce Nevermore's dial to 0. Then return Nevermore to the Raveness. HERO SETUP — Begin the game with Nevermore on your Hero Board set to 0.",All Forms,,,,,,
Raveness,Status Effect,Positive Status Effect,Feather,,5,,,A player with these tokens may spend them at any time to activate a variety of effects: • 1 token: Force the Nevermore Die Roll to be re-rolled. • 2 tokens: Increase or decrease the value of the Nevermore Die Roll by 1. • 3 tokens: Activate Nevermore.,All Forms,,,,,,
Raveness,Status Effect,Unique Status Effect,Hex,,1,,,"6's are considered blanks: A player afflicted with this token must treat all of their die faces with a 6 as if those faces are completely blank instead. At the conclusion of their turn, remove this token. This token may not be transferred by any means (but can be removed).",All Forms,,,,,,
Raveness,Character Die,Die Symbol,Talon,,,,1; 2; 3,Talon.,All Forms,,,,,,
Raveness,Character Die,Die Symbol,Wing,,,,4; 5,Wing.,All Forms,,,,,,
Raveness,Character Die,Die Symbol,Raven Eye,,,,6,Raven Eye.,All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Peck,[talon] ×3 / [talon] ×4 / [talon] ×5,,,,"[talon] ×3: Deal 5 dmg. [talon] ×4: Deal 6 dmg. [talon] ×5: Deal 7 dmg. On 4-of-a-kind (#'s), Activate Nevermore.",All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Fowl Friend,[wing] ×4,,,,Draw 1. Gain Feather. Activate Nevermore two times.,All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Craven,Small Straight,,,,Gain Feather. Deal 8 dmg.,All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Chamber,[raven eye] ×4,,,,Activate Nevermore two times. Deal 7 undefendable dmg.,All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Murder of Crows,[talon] ×2 + [wing] ×3,,,,"Deal 5 dmg & roll 4 [dice]: Add 1 × [talon] dmg. Gain 1 × [wing] Feather. On [raven eye], Activate Nevermore.",All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Raven Sight,[talon] ×2 + [raven eye] ×2,,,,Activate Nevermore. Deal 3 undefendable dmg.,All Forms,,,,,,
Raveness,Hero Board Ability,Offensive Ability,Beguile,Large Straight,,,,Gain 2 Feather. Activate Nevermore. Deal 9 dmg.,All Forms,,,,,,
Raveness,Hero Board Ability,Defensive Ability,Nothing More,Defense Roll 5 [dice],,,,"On [talon] [talon], deal 2 dmg. On [wing] [wing], prevent 2 dmg. On [raven eye] [raven eye], Activate Nevermore.",All Forms,,,,,,
Raveness,Hero Board Ability,Ultimate Ability,Fantastic Terrors!,[raven eye] ×5,,,,"Activate Nevermore three times. Inflict Hex. Deal 13 dmg. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,,,,,,
Raveness,Unique Card,Roll Phase Action (Attack Modifier),Stone Beak!,,,2,,Play only if Nevermore is on the target of your Attack. Add 1 dmg. This Attack becomes undefendable.,All Forms,,,,,,
Raveness,Unique Card,Main Phase Action,Nevermore Attack!,,,,,Activate Nevermore. Then choose if the player that Nevermore is on Heals 2 or receives 2 dmg.,All Forms,,,,,,
Raveness,Unique Card,Instant Action,Broken Stillness!,,,1,,Activate Nevermore.,All Forms,,,,,,
Raveness,Unique Card,Main Phase Action,Midnight Dreary!,,,1,,"Roll 5 [dice]: Gain 1 × [wing] Feather. On [raven eye], Activate Nevermore.",All Forms,,,,,,
Raveness,Unique Card,Roll Phase Action (Attack Modifier),Talon Strike!,,,1,,Roll 5 [dice]: Add 1 × [talon] dmg.,All Forms,,,,,,
Raveness,Unique Card,Instant Action,Cull!,,,1,,Change the value of the Nevermore Die Roll. Gain Feather.,All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Craven II,Small Straight,,2,,Gain 2 Feather. Deal 9 dmg.,All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Peck II,[talon] ×3 / [talon] ×4 / [talon] ×5,,2,,"[talon] ×3: Deal 6 dmg. [talon] ×4: Deal 7 dmg. [talon] ×5: Deal 8 dmg. On 3-of-a-kind (#'s), Activate Nevermore.",All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Fowl Friend II / Birds of a Feather,Fowl Friend II: [wing] ×3; Birds of a Feather: [wing] ×5,,3,,FOWL FRIEND II — Draw 1. Gain max Feather. Activate Nevermore three times. BIRDS OF A FEATHER — Increase Feather Stack Limit by 1. Then activate FOWL FRIEND II.,All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Raven Sight II,[talon] ×2 + [raven eye] ×2,,1,,Activate Nevermore two times. Deal 3 undefendable dmg.,All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Chamber II / Aviary,Chamber II: [raven eye] ×4; Aviary: [raven eye] ×3,,2,,CHAMBER II — Activate Nevermore three times. Deal 7 undefendable dmg. AVIARY — Gain 4 Feather. Deal 2 undefendable dmg.,All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Beguile II / Pluck,Beguile II: Large Straight; Pluck: [wing] ×3 + [raven eye] ×2,,2,,BEGUILE II — Gain 3 Feather. Activate Nevermore two times. Deal 9 dmg. PLUCK — Inflict Hex. Then deal 9 dmg.,All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Nothing More II,Defense Roll 5 [dice],,2,,"Deal 1 × [talon] dmg. On [wing] [wing], prevent 2 dmg. On [raven eye] [raven eye], Activate Nevermore.",All Forms,,,,,,
Raveness,Unique Card,Hero Upgrade,Murder of Crows II,[talon] ×2 + [wing] ×3,,2,,"Deal 6 dmg & roll 5 [dice]: Add 1 × [talon] dmg. Gain 1 × [wing] Feather. On [raven eye], Activate Nevermore.",All Forms,,,,,,
Alchemist,Status Effect,Unique Status Effect,Potions,,,,,"Whenever you Attach a Potion: • Choose any one Potion and place it on an open Potion Slot within an acceptable Ability. • You may not Attach more Potions (on your entire Hero Board) than the Limit noted for each Potion type. Whenever you activate an Ability, you may spend any number of Potions that are Attached to that Ability. For an Offensive Ability, spend at the end of the Offensive Roll Phase. For a Defensive Ability, spend after resolving the effects of your defense. These tokens may not be transferred by any means (but can be removed).",All Forms,,,,,,
Alchemist,Status Effect,Potion — Offensive,Punchify,,6,,,"May only be Attached to an Offensive Ability. When spent, add 2 dmg to your Attack. Attack Modifier.",All Forms,,,,,,
Alchemist,Status Effect,Potion — Defensive,Bolsterate,,2,,,"May only be Attached to a Defensive Ability. When spent, prevent 2 incoming dmg.",All Forms,,,,,,
Alchemist,Status Effect,Potion — Universal,Cleansitude,,3,,,"May be Attached to any Ability. When spent, the Alchemist chooses one: Remove 1 status effect from yourself or Heal 1.",All Forms,,,,,,
Alchemist,Status Effect,Potion — Universal,Toxification,,1,,,"May be Attached to any Ability. When spent, inflict Poison on a chosen player.",All Forms,,,,,,
Alchemist,Status Effect,Negative Status Effect,Poison,,3,,,Receive 1 dmg in Upkeep Phase: A player afflicted with this token is dealt 1 dmg per Poison token during their Upkeep Phase. Persistent.,All Forms,,,,,,
Alchemist,Character Die,Die Symbol,Solution,,,,1; 2; 3,Solution.,All Forms,,,,,,
Alchemist,Character Die,Die Symbol,Composition,,,,4; 5,Composition.,All Forms,,,,,,
Alchemist,Character Die,Die Symbol,Crucible,,,,6,Crucible.,All Forms,,,,,,
Alchemist,Hero Board Ability,Offensive Ability,Transmute,[solution] ×3 + [composition] ×2,,,,Gain 1 CP. Deal 6 dmg.,All Forms,1,,,,,
Alchemist,Hero Board Ability,Offensive Ability,Hermetics,[composition] ×3,,,,Attach 3 Potions. Heal 2.,All Forms,0,,,,,
Alchemist,Hero Board Ability,Passive Ability,The Lab,Passive; Upkeep Phase,,,,"During your Upkeep Phase, Attach 1 Potion. You may remove an Attached Potion at any time to re-roll 1 of your dice.",All Forms,0,,,,,
Alchemist,Hero Board Ability,Offensive Ability,Potion Overload,[solution] ×1 + [crucible] ×3,,,,Attach 2 Potions. Deal 7 dmg.,All Forms,3,,,,,
Alchemist,Hero Board Ability,Offensive Ability,Diffusion,Small Straight / Large Straight,,,,Small Straight: Attach 1 Potion. Deal 7 dmg. Large Straight: Attach 2 Potions. Draw 1. Deal 8 dmg.,All Forms,0,,,,,
Alchemist,Hero Board Ability,Offensive Ability,Catalyst,[crucible] ×4,,,,Attach 1 of each type of Potion. Deal 6 undefendable dmg.,All Forms,2,,,,,
Alchemist,Hero Board Ability,Offensive Ability,Chain Reaction,[solution] ×4 + [crucible] ×1,,,,Deal 6 dmg. You may spend 1 Potion that is Attached to your other Offensive Abilities.,All Forms,1,,,,,
Alchemist,Hero Board Ability,Defensive Ability,Passivation,Defense Roll 5 [dice],,,,Attach 1 × [crucible] Potion.,All Forms,2,,,,,
Alchemist,Hero Board Ability,Ultimate Ability,Chemical Trip!,[crucible] ×5,,,,"Attach 4 Potions. Deal 10 dmg. You may spend up to 3 Potions that are Attached to your Offensive Abilities. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,0,,,,,
Alchemist,Unique Card,Main Phase Action,Mutation!,,,0,,Remove up to 2 Attached Potions. Then gain 2 CP per Potion removed.,All Forms,,,,,,
Alchemist,Unique Card,Main Phase Action,Tonic!,,,1,,Remove Punchify to deal 3 dmg to a chosen player.,All Forms,,,,,,
Alchemist,Unique Card,Main Phase Action,Transmogrify!,,,1,,Remove Cleansitude to remove a status effect token from a chosen player.,All Forms,,,,,,
Alchemist,Unique Card,Main Phase Action,Concoction!,,,1,,"Roll 1 [die]: On [solution], Attach 1 Potion. On [composition], Attach 2 Potions of the same type. On [crucible], Attach 2 Potions and Heal 1.",All Forms,,,,,,
Alchemist,Unique Card,Main Phase Action,Potion Master!,,,2,,Attach 1 of each type of Potion.,All Forms,,,,,,
Alchemist,Unique Card,Main Phase Action,Noxious!,,,1,,Attach Toxification.,All Forms,,,,,,
Alchemist,Unique Card,Main Phase Action,Chemistry!,,,2,,Remove 1 Attached Potion. Then Attach 3 Potions that are a different type than the one that was removed. The new Potions may all be of the same type or different types.,All Forms,,,,,,
Alchemist,Unique Card,Roll Phase Action,Potion Explosion!,,,1,,Play only after being Attacked. Remove up to 2 Attached Potions. Then deal 2 dmg per Potion removed.,All Forms,,,,,,
Alchemist,Unique Card,Roll Phase Action (Attack Modifier),Life Extraction!,,,2,,Roll 3 [dice]: Add 1 × [solution] dmg. Heal 1 × [solution].,All Forms,,,,,,
Alchemist,Unique Card,Roll Phase Action,Girded!,,,1,,"You may perform an additional Roll Attempt of up to five dice during the Defensive Roll Phase. If you do not roll any [crucible] with your defense, prevent 2 incoming dmg.",All Forms,,,,,,
Alchemist,Unique Card,Hero Upgrade,Chain Reaction II,[solution] ×4 + [crucible] ×1,,0,,Deal 7 dmg. You may spend 1 Potion that is Attached to your other Offensive Abilities.,All Forms,1,,,,,
Alchemist,Unique Card,Hero Upgrade,Hermetics II / Inspired Chemist,Hermetics II: [composition] ×3; Inspired Chemist: [composition] ×5,,1,,HERMETICS II — Attach 3 Potions. Heal 3. INSPIRED CHEMIST — Attach 4 Potions. Heal 4.,All Forms,0,,,,,
Alchemist,Unique Card,Hero Upgrade,The Lab II,Passive; Upkeep Phase,,2,,"During your Upkeep Phase, roll 1 [die]: On [solution], Attach 1 Potion. On [composition] or [crucible], Attach 2 Potions. You may remove an Attached Potion at any time to re-roll 1 of your dice.",All Forms,0,,,,,
Alchemist,Unique Card,Hero Upgrade,Potion Overload II,[solution] ×1 + [crucible] ×3,,1,,Attach 3 Potions. Deal 7 dmg.,All Forms,3,,,,,
Alchemist,Unique Card,Hero Upgrade,Transmute II,[solution] ×3 + [composition] ×2,,1,,Gain 2 CP. Deal 6 dmg.,All Forms,2,,,,,
Headless Horseman,Companion,Companion Rules,Haunted Head,,,,,"Use your Pumpkin Head to frighten an opponent! At the conclusion of your turn, if an opponent has the Haunted Head, gain Dreadful. Terrorize an opponent: You may Terrorize an opponent during your Upkeep Phase when you have at least four Dreadful tokens (reference your Passive Ability, HEADLESS MAYHEM). When an opponent is Terrorized: • Remove four Dreadful tokens. • Move the Haunted Head to your Hero Board (if it is not already there). • Deal 3 as an isolated source of undefendable dmg to a chosen opponent. • Gain Grim Pursuit and 1 CP. HERO SETUP — Begin the game with the Haunted Head on your Hero Board. If you are not the first player to begin the game, gain Dreadful.",All Forms,,,,,,
Headless Horseman,Status Effect,Positive Status Effect,Dreadful,,5,,,"Boost various abilities: These tokens affect various abilities, including when you can Terrorize an opponent.",All Forms,,,,,,
Headless Horseman,Status Effect,Positive Status Effect,Grim Pursuit,,3,,,"Increase Attack dmg or gain Roll Attempt: A player with this token may spend it to activate one of the following effects: • Perform an additional Roll Attempt during your Offensive Roll Phase. • After Attacking, roll 5 [dice]: add 1 × [horseshoe] dmg. Attack Modifier. Each effect may only be activated once per turn.",All Forms,,,,,,
Headless Horseman,Character Die,Die Symbol,Axe,,,,1; 2; 3,Axe.,All Forms,,,,,,
Headless Horseman,Character Die,Die Symbol,Horseshoe,,,,4; 5,Horseshoe.,All Forms,,,,,,
Headless Horseman,Character Die,Die Symbol,Scare,,,,6,Scare.,All Forms,,,,,,
Headless Horseman,Hero Board Ability,Offensive Ability,Cleave,[axe] ×3 / [axe] ×4 / [axe] ×5,,,,"[axe] ×3: Deal 4 dmg. [axe] ×4: Deal 5 dmg. [axe] ×5: Deal 7 dmg. On 4-of-a-kind (#'s), gain Dreadful.",All Forms,,,,,,
Headless Horseman,Hero Board Ability,Offensive Ability,Reap,[horseshoe] ×3 + [scare] ×1,,,,"Gain 2 Dreadful. Deal 3 undefendable dmg. If you have the Haunted Head, draw 1.",All Forms,,,,,,
Headless Horseman,Hero Board Ability,Passive Ability,Headless Mayhem,Passive; Upkeep Phase,,,,"During your Upkeep Phase, you may choose one: Terrorize an opponent; or move the Haunted Head to a chosen player. If moved to an opponent, gain Dreadful. If your Offensive Roll Phase does not successfully deal at least 1 dmg, gain Grim Pursuit.",All Forms,,,,,,
Headless Horseman,Hero Board Ability,Offensive Ability,Ride Down,[axe] ×3 + [horseshoe] ×2,,,,Gain 2 Grim Pursuit. Then deal 6 dmg.,All Forms,,,,,,
Headless Horseman,Hero Board Ability,Offensive Ability,Sow Despair,Small Straight / Large Straight,,,,Small Straight: Gain Dreadful. Deal 7 dmg. Large Straight: Gain 2 Dreadful. Deal 9 dmg.,All Forms,,,,,,
Headless Horseman,Hero Board Ability,Offensive Ability,Horrify,[scare] ×4,,,,"Choose one: Gain 3 Dreadful; or gain Grim Pursuit. If you have the Haunted Head, do both instead. Then deal 6 undefendable dmg.",All Forms,,,,,,
Headless Horseman,Hero Board Ability,Offensive Ability,Spectral Assault,[axe] ×3 + [scare] ×2,,,,"Gain Dreadful. Then deal 8 dmg and roll 1 [die] per Dreadful (up to 5 [dice] total): Add 1 × [axe] dmg. On [horseshoe] [horseshoe], this Attack becomes undefendable. Gain 1 × [scare] Grim Pursuit.",All Forms,,,,,,
Headless Horseman,Hero Board Ability,Defensive Ability,Hallowed Reckoning,Defense Roll 1–5 [dice],,,,"Roll 1 [die] plus 1 more for each Dreadful (up to 5 [dice] total): Deal 1 × [axe] dmg. For every [horseshoe] [horseshoe], prevent 1 dmg. Gain 1 × [scare] Dreadful.",All Forms,,,,,,
Headless Horseman,Hero Board Ability,Ultimate Ability,Dreadful Charge!,[scare] ×5,,,,"Gain 4 Dreadful. Deal 14 dmg. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Sow Despair II,Small Straight / Large Straight,,2,,Small Straight: Gain 2 Dreadful. Deal 7 dmg. Large Straight: Gain 3 Dreadful. Deal 10 dmg.,All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Reap II / The Reaper,Reap II: [horseshoe] ×3 + [scare] ×1; The Reaper: [horseshoe] ×3 + [scare] ×2,,2,,"REAP II — Gain 2 Dreadful. Deal 4 undefendable dmg. If you have the Haunted Head, draw 1. THE REAPER — Draw 1. Gain 3 Dreadful. Deal 4 undefendable dmg.",All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Cleave II / Ghostly Charge,Cleave II: [axe] ×3 / [axe] ×4 / [axe] ×5; Ghostly Charge: [axe] ×2 + [horseshoe] ×1 + [scare] ×1,,2,,"CLEAVE II — [axe] ×3: Deal 5 dmg. [axe] ×4: Deal 6 dmg. [axe] ×5: Deal 8 dmg. On 3-of-a-kind (#'s), gain Dreadful. GHOSTLY CHARGE — Gain 2 Grim Pursuit. Deal 2 pure dmg.",All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Hallowed Reckoning II,Defense Roll 2–5 [dice],,2,,"Roll 2 [dice] plus 1 more for each Dreadful (up to 5 [dice] total): Deal 1 × [axe] dmg. For every [horseshoe] [horseshoe], prevent 1 dmg. Gain 1 × [scare] Dreadful. On [scare] [scare], gain Grim Pursuit.",All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Horrify II / Spooky,Horrify II: [scare] ×4; Spooky: [scare] ×2,,2,,HORRIFY II — Gain 3 Dreadful and 2 Grim Pursuit. Then deal 6 undefendable dmg. SPOOKY — Gain 2 Grim Pursuit. Then deal 7 dmg.,All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Spectral Assault II / Haunted Strike,[axe] ×3 + [scare] ×2,,2,,"SPECTRAL ASSAULT II — Gain Dreadful. Then deal 9 dmg and roll 1 [die] per Dreadful (up to 5 [dice] total): Add 1 × [axe] dmg. On [horseshoe] [horseshoe], this Attack becomes undefendable. Gain 1 × [scare] Grim Pursuit. HAUNTED STRIKE — Deal 4 undefendable dmg.",All Forms,,,,,,
Headless Horseman,Unique Card,Hero Upgrade,Ride Down II / Cursed Gallop,Ride Down II: [axe] ×3 + [horseshoe] ×2; Cursed Gallop: [horseshoe] ×3,,2,,RIDE DOWN II — Gain 3 Grim Pursuit. Then deal 6 dmg. CURSED GALLOP — Gain Grim Pursuit. Then deal 1 undefendable dmg.,All Forms,,,,,,
Headless Horseman,Unique Card,Roll Phase Action (Attack Modifier),Unescapable!,,,1,,Remove a Grim Pursuit to make this Attack undefendable.,All Forms,,,,,,
Headless Horseman,Unique Card,Instant Action,Dark Surprise!,,,2,,Gain 2 Dreadful.,All Forms,,,,,,
Headless Horseman,Unique Card,Roll Phase Action (Attack Modifier),Cranial Assist!,,,2,,"If your opponent has the Haunted Head, add 3 dmg.",All Forms,,,,,,
Headless Horseman,Unique Card,Main Phase Action,Dancing Pumpkin!,,,2,,"If you have the Haunted Head, gain 2 Dreadful. Otherwise, gain 2 Grim Pursuit.",All Forms,,,,,,
